"file","subject","total_questions","mcq_count","output_count","scenario_count","code_completion_count","easy_count","medium_count","hard_count"
"python_questions.csv","Python","500","200","100","100","100","143","203","154"
"python_selenium_questions.csv","Python Selenium","500","200","100","100","100","139","190","171"
"pytest_questions.csv","Pytest","500","200","100","100","100","168","178","154"
"manual_testing_questions.csv","Manual Testing","500","300","0","200","0","150","200","150"
"api_testing_questions.csv","API Testing","500","200","100","100","100","166","186","148"
"postman_questions.csv","Postman","500","200","100","100","100","159","189","152"
"python_requests_questions.csv","Python Requests","500","200","100","100","100","156","181","163"
"sql_questions.csv","SQL","500","200","100","100","100","139","188","173"
